sequence, prediction
00000000, 0.9481775
00000001, 0.425985
00000010, 0.982435
00000011, 0.663115
00000100, 0.9965675
00000101, 0.87464
00000110, 0.9808625
00000111, 0.117015
00001000, 0.9965425
00001001, 0.95197
00001010, 0.9118675
00001011, 0.5515125
00001100, 0.7178475
00001101, 0.667485
00001110, 0.529435
00001111, 0.2246475
00010000, 0.277815
00010001, 0.9968975
00010010, 0.99147
00010011, 0.9282825
00010100, 0.62133
00010101, 0.998465
00010110, 0.98497
00010111, 0.50724
00011000, 0.10476
00011001, 0.484735
00011010, 0.437645
00011011, 0.93749
00011100, 0.9909875
00011101, 0.7084375
00011110, 0.9774125
00011111, 0.186845
00100000, 0.777035
00100001, 0.99959
00100010, 0.62546
00100011, 0.9062825
00100100, 0.0006625
00100101, 0.627715
00100110, 0.9026725
00100111, 0.1547725
00101000, 0.0496
00101001, 0.9954225
00101010, 0.0214025
00101011, 0.61541
00101100, 0.0352
00101101, 0.0680675
00101110, 0.004765
00101111, 0.288665
00110000, 0.2175875
00110001, 0.00523
00110010, 0.3059825
00110011, 0.998755
00110100, 0.0434075
00110101, 0.9319375
00110110, 0.1945275
00110111, 0.528515
00111000, 0.09408
00111001, 0.4756775
00111010, 0.2441375
00111011, 0.7463275
00111100, 0.7906625
00111101, 0.406895
00111110, 0.0304125
00111111, 0.0169975
01000000, 0.9465075
01000001, 0.9928725
01000010, 0.995645
01000011, 0.722345
01000100, 0.99757
01000101, 0.9977
01000110, 0.990285
01000111, 0.6753875
01001000, 0.3247875
01001001, 0.9994125
01001010, 0.007295
01001011, 0.7727875
01001100, 0.1373975
01001101, 0.89642
01001110, 0.055615
01001111, 0.05851
01010000, 0.9157975
01010001, 0.9989775
01010010, 0.8965825
01010011, 0.9294825
01010100, 0.823895
01010101, 0.9983175
01010110, 0.207905
01010111, 0.89845
01011000, 0.85633
01011001, 0.9946575
01011010, 0.0536575
01011011, 0.9645375
01011100, 0.137155
01011101, 0.1056575
01011110, 0.528345
01011111, 0.23484
01100000, 0.931475
01100001, 0.0089975
01100010, 0.2053125
01100011, 0.319595
01100100, 0.0484325
01100101, 0.027215
01100110, 0.996915
01100111, 0.972175
01101000, 0.9225975
01101001, 0.14014
01101010, 0.14208
01101011, 0.4198975
01101100, 0.08453
01101101, 9.5e-05
01101110, 0.1856225
01101111, 0.22119
01110000, 0.5195525
01110001, 0.0782375
01110010, 0.1578825
01110011, 0.00282
01110100, 0.147945
01110101, 0.3869725
01110110, 0.332875
01110111, 0.5218525
01111000, 0.2366625
01111001, 0.007145
01111010, 0.0803775
01111011, 0.00043
01111100, 0.8085075
01111101, 0.002625
01111110, 0.0084525
01111111, 0.0388175
10000000, 0.96232
10000001, 0.863515
10000010, 0.9986525
10000011, 0.9318975
10000100, 0.999155
10000101, 0.8785575
10000110, 0.9951425
10000111, 0.697935
10001000, 0.1808775
10001001, 0.672995
10001010, 0.248865
10001011, 0.814625
10001100, 0.9742075
10001101, 0.9082925
10001110, 0.982525
10001111, 0.3870475
10010000, 0.841235
10010001, 0.9443925
10010010, 0.999255
10010011, 0.9989525
10010100, 0.1182425
10010101, 0.8045775
10010110, 0.8486625
10010111, 0.8601075
10011000, 0.197915
10011001, 0.0006575
10011010, 0.9703225
10011011, 0.836715
10011100, 0.02578
10011101, 0.3652325
10011110, 0.387
10011111, 0.3814975
10100000, 0.9657575
10100001, 0.870725
10100010, 0.0143325
10100011, 0.9019025
10100100, 0.0492175
10100101, 0.9906225
10100110, 0.0009625
10100111, 0.7633175
10101000, 0.00217
10101001, 0.930645
10101010, 0.0018175
10101011, 0.557885
10101100, 0.4125925
10101101, 0.9834675
10101110, 0.0019075
10101111, 0.12198
10110000, 0.75286
10110001, 0.01136
10110010, 0.12443
10110011, 0.729085
10110100, 0.6990975
10110101, 0.09473
10110110, 6.25e-05
10110111, 0.24143
10111000, 0.5929225
10111001, 0.833125
10111010, 0.0012375
10111011, 0.17488
10111100, 0.2882075
10111101, 0.4213575
10111110, 0.0007925
10111111, 0.111775
11000000, 0.9704775
11000001, 0.61786
11000010, 0.6043375
11000011, 0.25789
11000100, 0.9992675
11000101, 0.1602375
11000110, 0.5163875
11000111, 0.916215
11001000, 0.0742875
11001001, 0.7136525
11001010, 0.072835
11001011, 0.9283075
11001100, 0.11594
11001101, 0.01979
11001110, 0.9914025
11001111, 0.0563225
11010000, 0.927645
11010001, 0.0465175
11010010, 0.7853375
11010011, 0.9615425
11010100, 0.4858875
11010101, 0.7445075
11010110, 0.000565
11010111, 0.5301475
11011000, 0.2084325
11011001, 0.5701425
11011010, 0.5324025
11011011, 0.9994725
11011100, 0.0180275
11011101, 0.0660425
11011110, 0.3355725
11011111, 0.103785
11100000, 0.9675825
11100001, 0.00752
11100010, 0.1400625
11100011, 0.00382
11100100, 0.136605
11100101, 0.20755
11100110, 0.320845
11100111, 0.882505
11101000, 0.9198375
11101001, 0.857475
11101010, 0.0030125
11101011, 0.62183
11101100, 0.6486475
11101101, 0.0176675
11101110, 0.0003025
11101111, 0.656935
11110000, 0.77086
11110001, 0.0704
11110010, 0.246835
11110011, 0.0217575
11110100, 0.117925
11110101, 0.06349
11110110, 0.02718
11110111, 0.0147475
11111000, 0.6482675
11111001, 0.01392
11111010, 0.10757
11111011, 0.0054425
11111100, 0.78524
11111101, 0.0050175
11111110, 0.5047575
11111111, 0.0189725
